LocationDesc,Abbreviation,% Smokers,Life Expectancy
Alabama,AL,21.5,75.4
Alaska,AK,19,78.3
Arizona,AZ,14.7,79.6
Arkansas,AR,23.6,76
California,CA,11,80.8
Colorado,CO,15.6,80
Connecticut,CT,13.3,80.8
Delaware,DE,17.7,78.4
District of Columbia,DC,14.7,76.5
Florida,FL,15.5,79.4
Georgia,GA,17.9,77.2
Hawaii,HI,13.1,81.3
Idaho,ID,14.5,79.5
Illinois,IL,15.8,79
Indiana,IN,21.1,77.6
Iowa,IA,16.7,79.7
Kansas,KS,17.2,78.7
Kentucky,KY,24.5,76
Louisiana,LA,22.8,75.7
Maine,ME,19.8,79.2
Maryland,MD,13.7,78.8
Massachusetts,MA,13.6,80.5
Michigan,MI,20.4,78.2
Minnesota,MN,15.2,81.1
Mississippi,MS,22.7,75
Missouri,MO,22.1,77.5
Montana,MT,18.5,78.5
Nebraska,NE,17,79.8
Nevada,NV,16.5,78.1
New Hampshire,NH,18,80.3
New Jersey,NJ,14,80.3
New Mexico,NM,16.6,78.4
New York,NY,14.2,80.5
North Carolina,NC,17.9,77.8
North Dakota,ND,19.8,79.5
Ohio,OH,22.5,77.8
Oklahoma,OK,19.6,75.9
Oregon,OR,16.2,79.5
Pennsylvania,PA,18,78.5
Rhode Island,RI,14.4,79.9
South Carolina,SC,20,77
South Dakota,SD,18.1,79.5
Tennessee,TN,22.1,76.3
Texas,TX,14.3,78.5
Utah,UT,8.8,80.2
Vermont,VT,17,80.5
Virginia,VA,15.3,79
Washington,WA,13.9,79.9
West Virginia,WV,24.8,75.4
Wisconsin,WI,17.1,80
Wyoming,WY,18.9,78.3
,,,
Source,,1,2
